index,name,default
683,Modulation 57 Power,0.5
684,Modulation 57 Stereo,0.0
685,Modulation 58 Amount,0.5
686,Modulation 58 Bipolar,0.0
687,Modulation 58 Bypass,0.0
688,Modulation 58 Power,0.5
689,Modulation 58 Stereo,0.0
690,Modulation 59 Amount,0.5
691,Modulation 59 Bipolar,0.0
692,Modulation 59 Bypass,0.0
693,Modulation 59 Power,0.5
694,Modulation 59 Stereo,0.0
695,Modulation 60 Amount,0.5
696,Modulation 60 Bipolar,0.0
697,Modulation 60 Bypass,0.0
698,Modulation 60 Power,0.5
699,Modulation 60 Stereo,0.0
700,Modulation 61 Amount,0.5
701,Modulation 61 Bipolar,0.0
702,Modulation 61 Bypass,0.0
703,Modulation 61 Power,0.5
704,Modulation 61 Stereo,0.0
705,Modulation 62 Amount,0.5
706,Modulation 62 Bipolar,0.0
707,Modulation 62 Bypass,0.0
708,Modulation 62 Power,0.5
709,Modulation 62 Stereo,0.0
710,Modulation 63 Amount,0.5
711,Modulation 63 Bipolar,0.0
712,Modulation 63 Bypass,0.0
713,Modulation 63 Power,0.5
714,Modulation 63 Stereo,0.0
715,Modulation 64 Amount,0.5
716,Modulation 64 Bipolar,0.0
717,Modulation 64 Bypass,0.0
718,Modulation 64 Power,0.5
719,Modulation 64 Stereo,0.0
720,Compressor Mix,1.0
721,Sample Bounce,0.0
722,Voice Transpose,0.5
723,Stereo Mode,0.0
724,Chorus Filter Spread,1.0
725,Reverb Delay,0.0
726,Voice Override,0.0
727,Bypass,0.0
728,LFO 1 Transpose,0.5
729,LFO 1 Tune,0.5
730,LFO 2 Transpose,0.5
731,LFO 2 Tune,0.5
732,LFO 3 Transpose,0.5
733,LFO 3 Tune,0.5
734,LFO 4 Transpose,0.5
735,LFO 4 Tune,0.5
736,LFO 5 Transpose,0.5
737,LFO 5 Tune,0.5
738,LFO 6 Transpose,0.5
739,LFO 6 Tune,0.5
740,LFO 7 Transpose,0.5
741,LFO 7 Tune,0.5
742,LFO 8 Transpose,0.5
743,LFO 8 Tune,0.5
744,Random LFO 1 Transpose,0.5
745,Random LFO 1 Tune,0.5
746,Random LFO 2 Transpose,0.5
747,Random LFO 2 Tune,0.5
748,Random LFO 3 Transpose,0.5
749,Random LFO 3 Tune,0.5
750,Random LFO 4 Transpose,0.5
751,Random LFO 4 Tune,0.5
752,Filter 1 Formant Spread,0.5
753,Filter 2 Formant Spread,0.5
754,Filter fx Formant Spread,0.5
755,LFO 1 Smooth Mode,1.0
756,LFO 1 Smooth Time,0.1785714328289032
757,LFO 2 Smooth Mode,1.0
758,LFO 2 Smooth Time,0.1785714328289032
759,LFO 3 Smooth Mode,1.0
760,LFO 3 Smooth Time,0.1785714328289032
761,LFO 4 Smooth Mode,1.0
762,LFO 4 Smooth Time,0.1785714328289032
763,LFO 5 Smooth Mode,1.0
764,LFO 5 Smooth Time,0.1785714328289032
765,LFO 6 Smooth Mode,1.0
766,LFO 6 Smooth Time,0.1785714328289032
767,LFO 7 Smooth Mode,1.0
768,LFO 7 Smooth Time,0.1785714328289032
